key,collections_count,namespaces_count,collections,namespaces
"wants_verified","1","1","app.truanon.prefs","app.truanon.prefs"
"rank","1","1","app.truanon.label","app.truanon.label"
"attack","2","2","app.tcg.card;ai.syui.game","app.tcg.card;ai.syui.game"
"defense","1","1","app.tcg.card","app.tcg.card"
"encryptedPayload","1","1","app.sussurro.post","app.sussurro.post"
"encryption","2","2","app.sussurro.post;app.sussurro.friendKey","app.sussurro.post;app.sussurro.friendKey"
"keysByDid","1","1","app.sussurro.post","app.sussurro.post"
"recipients","1","1","app.sussurro.post","app.sussurro.post"
"did:plc:r4mg3k77lahe6nv6djp3pqsn","1","1","app.sussurro.post","app.sussurro.post"
"did:plc:uxofejfo6tbs6oqx2ivw4zhh","1","1","app.sussurro.post","app.sussurro.post"
"encryptedFriendKey","1","1","app.sussurro.friendKey","app.sussurro.friendKey"
"iv","1","1","app.sussurro.friendKey","app.sussurro.friendKey"
"character","2","2","app.sonasky.ref;ai.syui.game","app.sonasky.ref;ai.syui.game"
"altRef","1","1","app.sonasky.ref","app.sonasky.ref"
"colors","2","2","app.sonasky.ref;app.gridsky.preferences","app.sonasky.ref;app.gridsky.preferences"
"drawWithoutAskingNSFW","1","1","app.sonasky.ref","app.sonasky.ref"
"drawWithoutAskingSFW","1","1","app.sonasky.ref","app.sonasky.ref"
"refSheet","1","1","app.sonasky.ref","app.sonasky.ref"
"skillType","1","1","app.social.post.plus","app.social.post"
"crosspost_enabled","1","1","app.skywatched.settings","app.skywatched.settings"
"streaming_region","1","1","app.skywatched.settings","app.skywatched.settings"
"topics","1","1","app.skytube.profile","app.skytube.profile"
"coverPhoto","1","1","app.skyart.preferences","app.skyart.preferences"
"hashtags","1","1","app.skyart.preferences","app.skyart.preferences"
"longDescription","2","2","app.skyart.preferences;app.gainforest.organization.info","app.skyart.preferences;app.gainforest.organization"
"onboardingCompleted","1","1","app.skyart.preferences","app.skyart.preferences"
"socialLinks","1","1","app.skyart.preferences","app.skyart.preferences"
"notifications","1","1","app.skyart.preferences","app.skyart.preferences"
"artwork","1","1","app.skyart.post","app.skyart.post"
"likerAvatar","1","1","app.skyart.like","app.skyart.like"
"likerDisplayName","1","1","app.skyart.like","app.skyart.like"
"postType","1","1","app.skyart.like","app.skyart.like"
"followingAvatar","1","1","app.skyart.follow","app.skyart.follow"
"followingDid","1","1","app.skyart.follow","app.skyart.follow"
"followingDisplayName","1","1","app.skyart.follow","app.skyart.follow"
"followingHandle","1","1","app.skyart.follow","app.skyart.follow"
"authorAvatar","1","1","app.skyart.comment","app.skyart.comment"
"deploymentId","1","1","app.scout.site","app.scout.site"
"jamId","1","1","app.scout.site","app.scout.site"
"albumArt","3","3","app.rocksky.song;app.rocksky.scrobble;app.rocksky.album","app.rocksky.song;app.rocksky.scrobble;app.rocksky.album"
"albumArtist","2","2","app.rocksky.song;app.rocksky.scrobble","app.rocksky.song;app.rocksky.scrobble"
"discNumber","2","2","app.rocksky.song;app.rocksky.scrobble","app.rocksky.song;app.rocksky.scrobble"
"spotifyLink","2","2","app.rocksky.song;app.rocksky.scrobble","app.rocksky.song;app.rocksky.scrobble"
"trackNumber","2","2","app.rocksky.song;app.rocksky.scrobble","app.rocksky.song;app.rocksky.scrobble"
