type,collections_count,namespaces_count,collections,namespaces
"community.lexicon.location.fsq","1","1","community.atprotocol.geomarker.marker","community.atprotocol.geomarker"
"com.protruth.feed.defs#claimQuote","1","1","com.protruth.feed.postLink","com.protruth.feed"
"com.protruth.feed.defs#quote","1","1","com.protruth.feed.post","com.protruth.feed"
"com.protruth.feed.defs#evidenceView","1","1","com.protruth.feed.post","com.protruth.feed"
"com.protruth.embed.external#viewExternal","1","1","com.protruth.feed.post","com.protruth.feed"
"app.bsky.embed.record","1","1","com.example.test.esav","com.example.test"
"app.bsky.richtext.facet#link","2","2","com.example.test.esav;app.bsky.feed.post","com.example.test;app.bsky.feed"
"com.atprofile.beta.profile#contextItem","1","1","com.atprofile.beta.profile","com.atprofile.beta"
"app.bsky.embed.video","1","1","chat.roomy.v0.videoEmbeds","chat.roomy.v0"
"blue.zio.atfile.finger#machine","1","1","blue.zio.atfile.upload","blue.zio.atfile"
"blue.zio.atfile.meta#unknown","1","1","blue.zio.atfile.upload","blue.zio.atfile"
"blue.moji.collection.item#formats_v0","1","1","blue.moji.collection.item","blue.moji.collection"
"blog.pckt.theme","1","1","blog.pckt.publication","blog.pckt.publication"
"ar.cabildoabierto.wiki.topicVersion#topicProp","1","1","ar.cabildoabierto.wiki.topicVersion","ar.cabildoabierto.wiki"
"ar.cabildoabierto.wiki.topicVersion#stringListProp","1","1","ar.cabildoabierto.wiki.topicVersion","ar.cabildoabierto.wiki"
"ar.cabildoabierto.wiki.topicVersion#stringProp","1","1","ar.cabildoabierto.wiki.topicVersion","ar.cabildoabierto.wiki"
"ar.cabildoabierto.wiki.topicVersion#dateProp","1","1","ar.cabildoabierto.wiki.topicVersion","ar.cabildoabierto.wiki"
"com.atproto.label.defs#selfLabels","2","2","ar.cabildoabierto.feed.article;app.purplespace.actor.profile","ar.cabildoabierto.feed;app.purplespace.actor"
"ar.cabildoabierto.data.dataset#dataBlock","1","1","ar.cabildoabierto.data.dataset","ar.cabildoabierto.data"
"app.yoten.feed.resource","1","1","app.yoten.feed.session","app.yoten.feed"
"artwork","1","1","app.skyart.post","app.skyart.post"
"app.flashes.feed.post#embedImages","1","1","app.flashes.feed.post","app.flashes.feed"
"community.lexicon.location.geo","1","1","app.dropanchor.checkin","app.dropanchor.checkin"
"app.bsky.feed.threadgate#followingRule","1","1","app.bsky.feed.threadgate","app.bsky.feed"
"app.bsky.embed.external","3","2","app.bsky.feed.postss;app.bsky.feed.post;app.bsky.actor.status","app.bsky.feed;app.bsky.actor"
"app.bsky.feed.postgate#disableRule","1","1","app.bsky.feed.postgate","app.bsky.feed"
"app.bsky.richtext.facet#tag","1","1","app.bsky.feed.post","app.bsky.feed"
"app.bikesky.communityBot.labelDefs#labelPrompt","1","1","app.bikesky.communityBot.commandPrompt","app.bikesky.communityBot"
"app.atpaste.paste#revision","1","1","app.atpaste.paste","app.atpaste.paste"
"app.annos.annotationTemplate#annotationFieldRef","1","1","app.annos.annotationTemplate","app.annos.annotationTemplate"
"app.annos.annotationField#singleSelectFieldDef","1","1","app.annos.annotationField","app.annos.annotationField"
"app.annos.annotation#singleSelectValue","1","1","app.annos.annotation","app.annos.annotation"
